duplicate_group_id,canonical_asset_id,duplicate_asset_ids,duplicate_type,duplicate_reason,recommended_action,safe_to_suppress_from_browse,safe_to_delete_after_human_review,keep_reason,risk_level,group_size
sha256_7f645d8f207e7ec7,asset_6faaa16548e1e132,['asset_c598781e9edc81fb'],version_variant,2 files share SHA256 7f645d8f207e…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/Fig1.pdf,medium,2
sha256_191b9c58c173ce5a,asset_56e38bb9fd195a8c,"['asset_362bb90c912d107f', 'asset_38d66df9491fc1b0']",version_variant,3 files share SHA256 191b9c58c173…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/Fig1.png,medium,3
sha256_a19821c762324894,asset_6f770582528226e3,['asset_03537dbf42f7e903'],version_variant,2 files share SHA256 a19821c76232…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/Fig2-new.png,medium,2
sha256_4cda4c595e8c7863,asset_43ecdf075530eaac,['asset_82064ec9a13068dd'],version_variant,2 files share SHA256 4cda4c595e8c…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/MS Word Template Bioinformatics.dotx,medium,2
sha256_c5061689de4b3698,asset_96e7f678bd496c99,['asset_78bffe29384cdf81'],exact_duplicate,2 files share SHA256 c5061689de4b…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/Tribus_manuscript_supplementary.pdf,low,2
sha256_0a32b410f0035520,asset_b862f7a4650a865f,['asset_2696ce61c1a77104'],version_variant,2 files share SHA256 0a32b410f003…,review_before_suppress,False,False,Best extraction/metadata in projects/29_Tribus/final_manuscript/Submission_v2/first_submission/Fig1.jpeg,medium,2
sha256_f359b0756943298d,asset_7ff4d18c2d3d0876,['asset_3007b71740d47d52'],exact_duplicate,2 files share SHA256 f359b0756943…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/4_Meetings & Updates/12.5.2026_progress_meeting.pdf,low,2
sha256_661ca434cabcba18,asset_30d3c9c9adec519c,['asset_ec9159b4a8377748'],exact_duplicate,2 files share SHA256 661ca434cabc…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/4_Meetings & Updates/19.02.2026_group_meeting_WES.pdf,low,2
sha256_9ecdbd5f2dc169ca,asset_60e5a0b6b3787c61,['asset_64e135a313fb2f9d'],exact_duplicate,2 files share SHA256 9ecdbd5f2dc1…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/5_Writing & dissemination/1_abstracts/ADC_ESSB_2026_Andreas_Hainari.pdf,low,2
sha256_fd9c19c13e2affd0,asset_53ab4efa9f3de42b,['asset_a375c47894c52f53'],exact_duplicate,2 files share SHA256 fd9c19c13e2a…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/1_Anniina/anatomic_sites_of_ican patients.pdf,low,2
